"SpaceID","EventTime_UTC","OccupancyState"
"66467","2026 May 12 11:14:26 AM","OCCUPIED"
"SV247","2026 May 12 11:12:59 AM","VACANT"
"SV608","2026 May 12 11:12:26 AM","VACANT"
"HO438","2026 May 12 11:11:43 AM","VACANT"
"SV623","2026 May 12 11:11:03 AM","VACANT"
"SV871","2026 May 12 11:10:49 AM","OCCUPIED"
"SV451","2026 May 12 11:10:48 AM","VACANT"
"SV622","2026 May 12 11:10:15 AM","OCCUPIED"
"HO281A","2026 May 12 11:09:17 AM","VACANT"
"HO1023","2026 May 12 11:08:51 AM","VACANT"
"SH13","2026 May 12 11:08:43 AM","VACANT"
"HO143","2026 May 12 11:07:38 AM","VACANT"
"HO132A","2026 May 12 11:07:18 AM","VACANT"
"LZ109","2026 May 12 11:06:02 AM","VACANT"
"HO196A","2026 May 12 11:04:33 AM","VACANT"
"HO287","2026 May 12 11:03:28 AM","VACANT"
"SV72A","2026 May 12 11:03:28 AM","VACANT"
"CB3929C","2026 May 12 11:02:09 AM","VACANT"
"HO580","2026 May 12 11:02:07 AM","VACANT"
"CB1274","2026 May 12 11:01:58 AM","VACANT"
"CB4115","2026 May 12 11:01:13 AM","VACANT"
"61442","2026 May 12 11:00:26 AM","VACANT"
"HO877-const","2026 May 12 10:58:29 AM","VACANT"
"61443","2026 May 12 10:58:07 AM","OCCUPIED"
"HO259A","2026 May 12 10:58:02 AM","VACANT"
"WP67","2026 May 12 10:58:02 AM","OCCUPIED"
"HO876-const","2026 May 12 10:57:09 AM","VACANT"
"CB3466","2026 May 12 10:56:58 AM","VACANT"
"CC1568","2026 May 12 10:55:54 AM","OCCUPIED"
"CC1567","2026 May 12 10:55:49 AM","VACANT"
"SH389","2026 May 12 10:55:36 AM","VACANT"
"WP155","2026 May 12 10:55:16 AM","OCCUPIED"
"WP154","2026 May 12 10:55:15 AM","OCCUPIED"
"SV408","2026 May 12 10:55:13 AM","OCCUPIED"
"SV446","2026 May 12 10:51:02 AM","VACANT"
"HO274","2026 May 12 10:51:01 AM","VACANT"
"SV331","2026 May 12 10:49:55 AM","VACANT"
"66154","2026 May 12 10:49:26 AM","VACANT"
"61365","2026 May 12 10:49:03 AM","VACANT"
"SV343A","2026 May 12 10:48:06 AM","VACANT"
"HO218","2026 May 12 10:47:57 AM","VACANT"
"66463","2026 May 12 10:43:10 AM","VACANT"
"61356","2026 May 12 10:42:46 AM","VACANT"
"HO523","2026 May 12 10:41:41 AM","OCCUPIED"
"61440","2026 May 12 10:39:36 AM","OCCUPIED"
"61116","2026 May 12 10:39:32 AM","OCCUPIED"
"SV33","2026 May 12 10:39:28 AM","VACANT"
"CB2228A","2026 May 12 10:39:00 AM","VACANT"
"SV78","2026 May 12 10:38:38 AM","VACANT"
"61445","2026 May 12 10:38:19 AM","VACANT"
"HO1031","2026 May 12 10:37:54 AM","VACANT"
"SV94","2026 May 12 10:37:49 AM","VACANT"
"SV76","2026 May 12 10:37:44 AM","OCCUPIED"
"SV892","2026 May 12 10:36:51 AM","VACANT"
"CB185","2026 May 12 10:35:17 AM","OCCUPIED"
"66298","2026 May 12 10:35:02 AM","VACANT"
"SV891","2026 May 12 10:33:38 AM","VACANT"
"SV941","2026 May 12 10:33:21 AM","VACANT"
"SV942","2026 May 12 10:33:04 AM","VACANT"
"WV468","2026 May 12 10:32:07 AM","VACANT"
"CT495","2026 May 12 10:31:51 AM","OCCUPIED"
"66341","2026 May 12 10:28:40 AM","OCCUPIED"
"CB4266","2026 May 12 10:27:24 AM","OCCUPIED"
"HO21","2026 May 12 10:24:25 AM","VACANT"
"HO242B","2026 May 12 10:23:46 AM","VACANT"
"HO197","2026 May 12 10:22:40 AM","VACANT"
"CB2218","2026 May 12 10:20:44 AM","OCCUPIED"
"66201","2026 May 12 10:18:31 AM","VACANT"
"HO280C","2026 May 12 10:18:11 AM","OCCUPIED"
"HO523B","2026 May 12 10:18:04 AM","VACANT"
"66115","2026 May 12 10:17:23 AM","VACANT"
"HO63","2026 May 12 10:16:22 AM","VACANT"
"SH393","2026 May 12 10:12:37 AM","VACANT"
"66295","2026 May 12 10:12:28 AM","VACANT"
"HO13","2026 May 12 10:11:53 AM","VACANT"
"CB1747","2026 May 12 10:11:47 AM","VACANT"
"HO283","2026 May 12 10:09:34 AM","VACANT"
"CB634","2026 May 12 10:09:30 AM","VACANT"
"CB634A","2026 May 12 10:09:10 AM","VACANT"
"HO246","2026 May 12 10:07:37 AM","VACANT"
"HO247","2026 May 12 10:06:58 AM","VACANT"
"HO641","2026 May 12 10:06:32 AM","OCCUPIED"
"66608","2026 May 12 10:06:24 AM","OCCUPIED"
"HO235G","2026 May 12 10:05:03 AM","VACANT"
"66297","2026 May 12 10:03:17 AM","VACANT"
"SV697","2026 May 12 10:03:02 AM","VACANT"
"SV742A","2026 May 12 10:02:57 AM","OCCUPIED"
