"SpaceID","EventTime_UTC","OccupancyState"
"66604","2026 May 12 07:55:54 AM","VACANT"
"HO238","2026 May 12 07:54:20 AM","VACANT"
"SV303","2026 May 12 07:53:51 AM","VACANT"
"SP486","2026 May 12 07:53:18 AM","VACANT"
"CB1749","2026 May 12 07:53:08 AM","VACANT"
"V173","2026 May 12 07:53:00 AM","VACANT"
"HO97","2026 May 12 07:52:46 AM","VACANT"
"SV8","2026 May 12 07:52:40 AM","OCCUPIED"
"SV394","2026 May 12 07:52:33 AM","OCCUPIED"
"SV395","2026 May 12 07:52:23 AM","VACANT"
"66207","2026 May 12 07:52:09 AM","OCCUPIED"
"HO196","2026 May 12 07:52:03 AM","VACANT"
"HO723B","2026 May 12 07:51:55 AM","OCCUPIED"
"CB215","2026 May 12 07:51:35 AM","VACANT"
"WV71A","2026 May 12 07:51:01 AM","VACANT"
"HO525","2026 May 12 07:50:29 AM","VACANT"
"SV306","2026 May 12 07:49:46 AM","VACANT"
"SV654","2026 May 12 07:49:05 AM","VACANT"
"SV655","2026 May 12 07:49:05 AM","VACANT"
"SV828","2026 May 12 07:49:02 AM","OCCUPIED"
"HO210","2026 May 12 07:48:38 AM","VACANT"
"SV125","2026 May 12 07:47:09 AM","VACANT"
"CB1075","2026 May 12 07:47:05 AM","VACANT"
"SV302","2026 May 12 07:46:52 AM","VACANT"
"HO1021A","2026 May 12 07:46:51 AM","OCCUPIED"
"CB4501","2026 May 12 07:44:59 AM","OCCUPIED"
"CB574","2026 May 12 07:44:02 AM","VACANT"
"SV122","2026 May 12 07:43:53 AM","VACANT"
"66611","2026 May 12 07:43:19 AM","VACANT"
"SH21","2026 May 12 07:42:36 AM","OCCUPIED"
"SP639","2026 May 12 07:42:03 AM","VACANT"
"CB116","2026 May 12 07:41:54 AM","OCCUPIED"
"HO1058","2026 May 12 07:41:24 AM","OCCUPIED"
"WP176","2026 May 12 07:41:11 AM","VACANT"
"CB4456","2026 May 12 07:40:53 AM","VACANT"
"CB3532","2026 May 12 07:39:43 AM","VACANT"
"SV211","2026 May 12 07:39:38 AM","VACANT"
"SP80","2026 May 12 07:39:21 AM","VACANT"
"CB2808","2026 May 12 07:39:07 AM","OCCUPIED"
"66402","2026 May 12 07:38:49 AM","OCCUPIED"
"WP156","2026 May 12 07:38:43 AM","VACANT"
"82712","2026 May 12 07:38:19 AM","VACANT"
"CB2424","2026 May 12 07:37:17 AM","VACANT"
"CB667","2026 May 12 07:36:57 AM","VACANT"
"CB1162A","2026 May 12 07:36:26 AM","VACANT"
"CB2417","2026 May 12 07:36:22 AM","VACANT"
"SV882","2026 May 12 07:36:10 AM","VACANT"
"CB206A","2026 May 12 07:36:03 AM","VACANT"
"HO280B","2026 May 12 07:35:58 AM","VACANT"
"SV301","2026 May 12 07:34:59 AM","VACANT"
"SV305","2026 May 12 07:34:45 AM","VACANT"
"CB2830","2026 May 12 07:34:42 AM","VACANT"
"HO195","2026 May 12 07:33:30 AM","VACANT"
"61435","2026 May 12 07:33:03 AM","VACANT"
"CB559","2026 May 12 07:32:35 AM","VACANT"
"CB4367","2026 May 12 07:32:21 AM","OCCUPIED"
"HO431","2026 May 12 07:31:50 AM","VACANT"
"CT492","2026 May 12 07:31:32 AM","VACANT"
"CB463","2026 May 12 07:29:52 AM","OCCUPIED"
"CB4329","2026 May 12 07:29:06 AM","VACANT"
"SV647","2026 May 12 07:28:41 AM","VACANT"
"SV218A","2026 May 12 07:27:42 AM","VACANT"
"CB1254","2026 May 12 07:27:36 AM","VACANT"
"CB1275","2026 May 12 07:27:27 AM","VACANT"
"CB1121","2026 May 12 07:26:46 AM","VACANT"
"CB3944","2026 May 12 07:26:27 AM","OCCUPIED"
"V251","2026 May 12 07:26:10 AM","VACANT"
"66593","2026 May 12 07:25:41 AM","VACANT"
"66174","2026 May 12 07:25:14 AM","VACANT"
"SP493","2026 May 12 07:24:44 AM","OCCUPIED"
"CB307","2026 May 12 07:24:38 AM","OCCUPIED"
"66592","2026 May 12 07:22:56 AM","VACANT"
"61438","2026 May 12 07:22:54 AM","VACANT"
"CB1018A","2026 May 12 07:22:43 AM","VACANT"
"SV719","2026 May 12 07:22:11 AM","OCCUPIED"
"WV417","2026 May 12 07:21:39 AM","VACANT"
"CB1004","2026 May 12 07:21:37 AM","VACANT"
"SV524","2026 May 12 07:21:07 AM","VACANT"
"LT467","2026 May 12 07:20:58 AM","VACANT"
"LZ106","2026 May 12 07:20:39 AM","VACANT"
"61142","2026 May 12 07:20:17 AM","VACANT"
"CB142A","2026 May 12 07:19:48 AM","OCCUPIED"
"61143","2026 May 12 07:19:34 AM","OCCUPIED"
"SV72","2026 May 12 07:19:31 AM","VACANT"
"HO727","2026 May 12 07:18:50 AM","OCCUPIED"
"CB4357","2026 May 12 07:18:39 AM","VACANT"
"HO268A","2026 May 12 07:18:36 AM","VACANT"
"CB1138A","2026 May 12 07:17:53 AM","VACANT"
"WV444","2026 May 12 07:16:25 AM","OCCUPIED"
"LT474","2026 May 12 07:16:20 AM","VACANT"
"HO140","2026 May 12 07:16:13 AM","VACANT"
"CB2536","2026 May 12 07:15:23 AM","OCCUPIED"
"SV652A","2026 May 12 07:15:16 AM","VACANT"
"SV610","2026 May 12 07:14:44 AM","VACANT"
"HO1019","2026 May 12 07:13:48 AM","VACANT"
"HO470","2026 May 12 07:13:42 AM","VACANT"
"HO400","2026 May 12 07:13:17 AM","VACANT"
"CB1463B","2026 May 12 07:12:58 AM","VACANT"
"WP9","2026 May 12 07:12:54 AM","VACANT"
"HO260A","2026 May 12 07:12:52 AM","VACANT"
"CB541","2026 May 12 07:11:00 AM","VACANT"
"66206","2026 May 12 07:10:58 AM","VACANT"
"SV26","2026 May 12 07:10:34 AM","OCCUPIED"
"LZ103","2026 May 12 07:10:32 AM","OCCUPIED"
"CB3800","2026 May 12 07:10:29 AM","VACANT"
"66461","2026 May 12 07:10:11 AM","VACANT"
"CB207A","2026 May 12 07:09:50 AM","OCCUPIED"
"CB1069","2026 May 12 07:09:36 AM","OCCUPIED"
"61364","2026 May 12 07:09:30 AM","VACANT"
"SP97","2026 May 12 07:09:26 AM","OCCUPIED"
"CB4481","2026 May 12 07:09:12 AM","OCCUPIED"
"CB669","2026 May 12 07:09:02 AM","VACANT"
"SV307A","2026 May 12 07:09:00 AM","VACANT"
"66466","2026 May 12 07:08:16 AM","OCCUPIED"
"CB1134","2026 May 12 07:08:05 AM","VACANT"
"CB294","2026 May 12 07:07:35 AM","VACANT"
"HO208","2026 May 12 07:07:09 AM","OCCUPIED"
"WV421","2026 May 12 07:06:22 AM","VACANT"
"CB2070","2026 May 12 07:06:19 AM","VACANT"
"SV919","2026 May 12 07:06:13 AM","VACANT"
"CB4101B","2026 May 12 07:06:12 AM","VACANT"
"CB1065A","2026 May 12 07:05:58 AM","OCCUPIED"
"V111","2026 May 12 07:05:49 AM","VACANT"
"HO640","2026 May 12 07:05:41 AM","VACANT"
"CB1119","2026 May 12 07:05:36 AM","VACANT"
"CB1122","2026 May 12 07:04:04 AM","OCCUPIED"
"CB4126","2026 May 12 07:03:49 AM","VACANT"
"SP803","2026 May 12 07:03:26 AM","OCCUPIED"
"CB460","2026 May 12 07:03:11 AM","VACANT"
"WV463","2026 May 12 07:01:58 AM","VACANT"
"CB1187A","2026 May 12 07:01:42 AM","OCCUPIED"
"SP274","2026 May 12 07:01:23 AM","VACANT"
"SP652","2026 May 12 07:01:05 AM","VACANT"
"CB3626A","2026 May 12 07:00:56 AM","OCCUPIED"
"CT268","2026 May 12 07:00:54 AM","OCCUPIED"
"CB1240","2026 May 12 07:00:54 AM","VACANT"
"CB1038","2026 May 12 07:00:50 AM","VACANT"
"CB374","2026 May 12 07:00:48 AM","VACANT"
"SP554","2026 May 12 07:00:47 AM","VACANT"
"SP111","2026 May 12 07:00:47 AM","VACANT"
"CB1640","2026 May 12 07:00:45 AM","VACANT"
"LT391","2026 May 12 07:00:45 AM","VACANT"
"CB378","2026 May 12 07:00:44 AM","VACANT"
"WV328","2026 May 12 07:00:44 AM","VACANT"
"LT399","2026 May 12 07:00:42 AM","VACANT"
"CB316","2026 May 12 07:00:42 AM","VACANT"
"CB87","2026 May 12 07:00:41 AM","VACANT"
"CB2359","2026 May 12 07:00:41 AM","VACANT"
"CB239","2026 May 12 07:00:41 AM","OCCUPIED"
"LT562","2026 May 12 07:00:40 AM","OCCUPIED"
"CB4148","2026 May 12 07:00:39 AM","VACANT"
"CB513","2026 May 12 07:00:39 AM","VACANT"
"CB4113","2026 May 12 07:00:39 AM","VACANT"
"CB3544","2026 May 12 07:00:39 AM","VACANT"
"SP870","2026 May 12 07:00:36 AM","OCCUPIED"
"CB360B","2026 May 12 07:00:36 AM","OCCUPIED"
"CB2061","2026 May 12 07:00:36 AM","VACANT"
"CB4168","2026 May 12 07:00:35 AM","VACANT"
"CB248B","2026 May 12 07:00:35 AM","VACANT"
"CB4220","2026 May 12 07:00:35 AM","OCCUPIED"
"CB2211","2026 May 12 07:00:35 AM","OCCUPIED"
"CB1555","2026 May 12 07:00:35 AM","VACANT"
"CB1793","2026 May 12 07:00:35 AM","VACANT"
"CB2361","2026 May 12 07:00:34 AM","VACANT"
"CB1120A","2026 May 12 07:00:34 AM","VACANT"
"CB2835","2026 May 12 07:00:34 AM","VACANT"
"CB554","2026 May 12 07:00:34 AM","VACANT"
"CB4152","2026 May 12 07:00:34 AM","VACANT"
"CB4461","2026 May 12 07:00:34 AM","OCCUPIED"
"CB2084","2026 May 12 07:00:34 AM","VACANT"
"CB4201","2026 May 12 07:00:33 AM","VACANT"
"SP534A","2026 May 12 07:00:33 AM","VACANT"
"CB247","2026 May 12 07:00:33 AM","VACANT"
"SV630","2026 May 12 07:00:33 AM","OCCUPIED"
"CB507","2026 May 12 07:00:33 AM","VACANT"
"CB4104","2026 May 12 07:00:32 AM","VACANT"
"CB3769","2026 May 12 07:00:32 AM","OCCUPIED"
"CB467","2026 May 12 07:00:30 AM","VACANT"
"CB2081","2026 May 12 07:00:30 AM","VACANT"
"WV320","2026 May 12 07:00:29 AM","VACANT"
"SV621","2026 May 12 07:00:29 AM","VACANT"
"CB2362","2026 May 12 07:00:28 AM","VACANT"
"SP549","2026 May 12 07:00:28 AM","VACANT"
"CB2077","2026 May 12 07:00:28 AM","VACANT"
"CB2085","2026 May 12 07:00:27 AM","VACANT"
"SP629","2026 May 12 07:00:27 AM","VACANT"
"CB247B","2026 May 12 07:00:27 AM","VACANT"
"CB478","2026 May 12 07:00:27 AM","OCCUPIED"
"CB435","2026 May 12 07:00:26 AM","OCCUPIED"
"CB4221","2026 May 12 07:00:26 AM","VACANT"
"CT570","2026 May 12 07:00:26 AM","OCCUPIED"
"SP674","2026 May 12 07:00:26 AM","VACANT"
"CB4331A","2026 May 12 07:00:26 AM","VACANT"
"CB1030","2026 May 12 07:00:26 AM","VACANT"
"CB2035","2026 May 12 07:00:26 AM","VACANT"
"CB3259","2026 May 12 07:00:26 AM","VACANT"
"CB406","2026 May 12 07:00:26 AM","VACANT"
"CB85","2026 May 12 07:00:26 AM","VACANT"
"CB2827","2026 May 12 07:00:26 AM","VACANT"
"CB2040","2026 May 12 07:00:26 AM","VACANT"
"SP668","2026 May 12 07:00:26 AM","VACANT"
"CB2262","2026 May 12 07:00:25 AM","VACANT"
"CB2825","2026 May 12 07:00:25 AM","VACANT"
"CB83","2026 May 12 07:00:25 AM","VACANT"
"CB2260","2026 May 12 07:00:25 AM","VACANT"
"WV495","2026 May 12 07:00:25 AM","VACANT"
"SP562","2026 May 12 07:00:25 AM","VACANT"
"CB2063","2026 May 12 07:00:25 AM","VACANT"
"CB4208","2026 May 12 07:00:25 AM","VACANT"
"CB3959","2026 May 12 07:00:25 AM","VACANT"
"SP272","2026 May 12 07:00:25 AM","VACANT"
"CB2856","2026 May 12 07:00:25 AM","VACANT"
"CB84","2026 May 12 07:00:25 AM","VACANT"
"CB217","2026 May 12 07:00:25 AM","VACANT"
"SP510A","2026 May 12 07:00:25 AM","VACANT"
"CB2599","2026 May 12 07:00:25 AM","VACANT"
"CB1655","2026 May 12 07:00:25 AM","VACANT"
"CT72","2026 May 12 07:00:25 AM","OCCUPIED"
"CB2601","2026 May 12 07:00:25 AM","VACANT"
"SP682","2026 May 12 07:00:25 AM","VACANT"
"WV664","2026 May 12 07:00:25 AM","VACANT"
"SP654A","2026 May 12 07:00:25 AM","VACANT"
"CB392","2026 May 12 07:00:25 AM","VACANT"
"LT403","2026 May 12 07:00:25 AM","OCCUPIED"
"CB1233A","2026 May 12 07:00:25 AM","VACANT"
"CB3860","2026 May 12 07:00:25 AM","OCCUPIED"
"CB1951","2026 May 12 07:00:25 AM","VACANT"
"CB4328","2026 May 12 07:00:25 AM","VACANT"
"CB804","2026 May 12 07:00:25 AM","VACANT"
"CB3584","2026 May 12 07:00:25 AM","VACANT"
"WV450","2026 May 12 07:00:25 AM","VACANT"
"SP371","2026 May 12 07:00:25 AM","VACANT"
"CB1536","2026 May 12 07:00:25 AM","VACANT"
"CB2066","2026 May 12 07:00:25 AM","VACANT"
"CB88","2026 May 12 07:00:25 AM","VACANT"
"CB2790","2026 May 12 07:00:25 AM","VACANT"
"CB153","2026 May 12 07:00:25 AM","VACANT"
"CB3771","2026 May 12 07:00:25 AM","VACANT"
"CB1138","2026 May 12 07:00:25 AM","VACANT"
"CB1985","2026 May 12 07:00:25 AM","VACANT"
"CB2787","2026 May 12 07:00:25 AM","VACANT"
"CB775","2026 May 12 07:00:24 AM","VACANT"
"CB1949B","2026 May 12 07:00:24 AM","VACANT"
"CB2644","2026 May 12 07:00:24 AM","OCCUPIED"
"CB2354","2026 May 12 07:00:24 AM","OCCUPIED"
"CB2044","2026 May 12 07:00:24 AM","OCCUPIED"
"CB2592","2026 May 12 07:00:24 AM","VACANT"
"CB2147E","2026 May 12 07:00:24 AM","VACANT"
"SP318","2026 May 12 07:00:24 AM","VACANT"
"CB1741","2026 May 12 07:00:24 AM","OCCUPIED"
"CB1557","2026 May 12 07:00:24 AM","VACANT"
"SP630","2026 May 12 07:00:24 AM","OCCUPIED"
"CC1219A","2026 May 12 07:00:24 AM","OCCUPIED"
"CT462","2026 May 12 07:00:24 AM","OCCUPIED"
"CB1014","2026 May 12 07:00:24 AM","VACANT"
"CB2082","2026 May 12 07:00:24 AM","VACANT"
"CB444","2026 May 12 07:00:24 AM","VACANT"
"CB4112","2026 May 12 07:00:24 AM","VACANT"
"CB3425","2026 May 12 07:00:24 AM","OCCUPIED"
"CB1994","2026 May 12 07:00:24 AM","VACANT"
"CB2789","2026 May 12 07:00:24 AM","VACANT"
"CB2230C","2026 May 12 07:00:24 AM","VACANT"
"CT615","2026 May 12 07:00:24 AM","VACANT"
"CB1955A","2026 May 12 07:00:24 AM","VACANT"
"CB1139","2026 May 12 07:00:24 AM","OCCUPIED"
"CB1755","2026 May 12 07:00:24 AM","VACANT"
"SP497A","2026 May 12 07:00:24 AM","OCCUPIED"
"CB2593","2026 May 12 07:00:24 AM","VACANT"
"SP313","2026 May 12 07:00:24 AM","VACANT"
"CT564","2026 May 12 07:00:24 AM","VACANT"
"CB3541","2026 May 12 07:00:24 AM","VACANT"
"CB479","2026 May 12 07:00:24 AM","VACANT"
"CT76A","2026 May 12 07:00:24 AM","VACANT"
"CB814","2026 May 12 07:00:24 AM","VACANT"
"SP542","2026 May 12 07:00:24 AM","VACANT"
"CB2415","2026 May 12 07:00:24 AM","VACANT"
"CB1638","2026 May 12 07:00:24 AM","VACANT"
"CB3261","2026 May 12 07:00:24 AM","VACANT"
"CB3952","2026 May 12 07:00:23 AM","OCCUPIED"
"SP322","2026 May 12 07:00:23 AM","VACANT"
"SP681","2026 May 12 07:00:23 AM","VACANT"
"CB2571","2026 May 12 07:00:23 AM","OCCUPIED"
"CB3583","2026 May 12 07:00:23 AM","VACANT"
"CB1993","2026 May 12 07:00:23 AM","VACANT"
"CB1120","2026 May 12 07:00:23 AM","VACANT"
"CB2037","2026 May 12 07:00:23 AM","VACANT"
"CB1796","2026 May 12 07:00:23 AM","VACANT"
"CT565","2026 May 12 07:00:23 AM","VACANT"
"SP494A","2026 May 12 07:00:23 AM","VACANT"
"SP306","2026 May 12 07:00:23 AM","OCCUPIED"
"CB2782","2026 May 12 07:00:23 AM","OCCUPIED"
"SP672","2026 May 12 07:00:23 AM","VACANT"
"CB3767","2026 May 12 07:00:23 AM","VACANT"
"CB2050","2026 May 12 07:00:23 AM","VACANT"
"CB1133","2026 May 12 07:00:23 AM","OCCUPIED"
"CB2274A","2026 May 12 07:00:23 AM","VACANT"
"SP312","2026 May 12 07:00:23 AM","VACANT"
"CB202","2026 May 12 07:00:23 AM","VACANT"
"CB369","2026 May 12 07:00:23 AM","VACANT"
"CB2088","2026 May 12 07:00:23 AM","VACANT"
"LT564","2026 May 12 07:00:23 AM","VACANT"
"CB1239","2026 May 12 07:00:23 AM","VACANT"
"CB2073","2026 May 12 07:00:23 AM","VACANT"
"CB4238","2026 May 12 07:00:23 AM","VACANT"
"CB1139A","2026 May 12 07:00:23 AM","OCCUPIED"
"CB440","2026 May 12 07:00:23 AM","OCCUPIED"
"CB2149","2026 May 12 07:00:22 AM","VACANT"
"CT436","2026 May 12 07:00:22 AM","VACANT"
"CB1507","2026 May 12 07:00:22 AM","VACANT"
"CB1631","2026 May 12 07:00:22 AM","VACANT"
"CB2083","2026 May 12 07:00:19 AM","VACANT"
"CB1493","2026 May 12 07:00:19 AM","VACANT"
"CB2954","2026 May 12 07:00:19 AM","VACANT"
"CB3513","2026 May 12 07:00:18 AM","VACANT"
"CB3546B","2026 May 12 07:00:17 AM","VACANT"
"CB466","2026 May 12 07:00:16 AM","VACANT"
"CB2437","2026 May 12 07:00:15 AM","VACANT"
"CB473","2026 May 12 07:00:15 AM","VACANT"
"CT5","2026 May 12 07:00:15 AM","VACANT"
"CB1633","2026 May 12 07:00:15 AM","VACANT"
"CB2179A","2026 May 12 07:00:15 AM","VACANT"
"CB4094","2026 May 12 07:00:15 AM","VACANT"
"CB2229B","2026 May 12 07:00:15 AM","VACANT"
"CB1036","2026 May 12 07:00:15 AM","VACANT"
"CB833","2026 May 12 07:00:15 AM","VACANT"
"CB1018","2026 May 12 07:00:15 AM","VACANT"
"CB436","2026 May 12 07:00:15 AM","OCCUPIED"
"CB855A","2026 May 12 07:00:15 AM","VACANT"
"CB1654","2026 May 12 07:00:15 AM","VACANT"
"CB1197B","2026 May 12 07:00:15 AM","VACANT"
"CB750","2026 May 12 07:00:14 AM","VACANT"
"CB4155","2026 May 12 07:00:14 AM","VACANT"
"CB2859A","2026 May 12 07:00:14 AM","VACANT"
"SP537","2026 May 12 07:00:14 AM","OCCUPIED"
"SP471","2026 May 12 07:00:14 AM","OCCUPIED"
"CB1792","2026 May 12 07:00:14 AM","VACANT"
"CB3995","2026 May 12 07:00:14 AM","VACANT"
"CB2962","2026 May 12 07:00:14 AM","OCCUPIED"
"CB2861","2026 May 12 07:00:14 AM","VACANT"
"CB2071","2026 May 12 07:00:14 AM","VACANT"
"CB713","2026 May 12 07:00:14 AM","VACANT"
"CB918","2026 May 12 07:00:14 AM","VACANT"
"CB1121A","2026 May 12 07:00:13 AM","VACANT"
"CB4410B","2026 May 12 07:00:13 AM","VACANT"
"CB4230","2026 May 12 07:00:13 AM","VACANT"
"CB1978","2026 May 12 07:00:13 AM","VACANT"
"SP81","2026 May 12 07:00:13 AM","VACANT"
"CB234","2026 May 12 07:00:13 AM","VACANT"
"CB2067","2026 May 12 07:00:13 AM","VACANT"
"CB1059","2026 May 12 07:00:13 AM","VACANT"
"CB1346","2026 May 12 07:00:13 AM","VACANT"
"CB393","2026 May 12 07:00:13 AM","VACANT"
"SP513","2026 May 12 07:00:13 AM","OCCUPIED"
"CB1054","2026 May 12 07:00:13 AM","OCCUPIED"
"CB3528","2026 May 12 07:00:13 AM","VACANT"
"CB2538","2026 May 12 07:00:13 AM","VACANT"
"SP560A","2026 May 12 07:00:13 AM","VACANT"
"SP675","2026 May 12 07:00:13 AM","VACANT"
"CB1267B","2026 May 12 07:00:12 AM","VACANT"
"CB3272","2026 May 12 07:00:12 AM","VACANT"
"CC910","2026 May 12 07:00:12 AM","OCCUPIED"
"CT71A","2026 May 12 07:00:12 AM","VACANT"
"CB3477","2026 May 12 07:00:12 AM","VACANT"
"CB1650","2026 May 12 07:00:12 AM","VACANT"
"CB2858","2026 May 12 07:00:12 AM","VACANT"
"CB4460","2026 May 12 07:00:12 AM","OCCUPIED"
"CB4424","2026 May 12 07:00:12 AM","VACANT"
"CB186","2026 May 12 07:00:06 AM","VACANT"
"CB483","2026 May 12 07:00:06 AM","VACANT"
"CB2056","2026 May 12 07:00:05 AM","VACANT"
"CB792","2026 May 12 07:00:05 AM","VACANT"
"ED778","2026 May 12 07:00:03 AM","VACANT"
"CB1849","2026 May 12 07:00:02 AM","OCCUPIED"
"SV284","2026 May 12 06:59:45 AM","VACANT"
"HO11","2026 May 12 06:59:35 AM","OCCUPIED"
"HO139","2026 May 12 06:58:45 AM","VACANT"
"HO137","2026 May 12 06:58:33 AM","VACANT"
"V166","2026 May 12 06:56:21 AM","OCCUPIED"
"WP103","2026 May 12 06:55:51 AM","VACANT"
"HO255","2026 May 12 06:55:45 AM","VACANT"
"SV75","2026 May 12 06:55:42 AM","VACANT"
"SV602","2026 May 12 06:55:35 AM","OCCUPIED"
"WP102","2026 May 12 06:55:34 AM","VACANT"
"SV652","2026 May 12 06:54:54 AM","OCCUPIED"
"SV751","2026 May 12 06:54:51 AM","VACANT"
"V209","2026 May 12 06:54:20 AM","VACANT"
"SV243","2026 May 12 06:53:18 AM","VACANT"
"SV449","2026 May 12 06:52:03 AM","VACANT"
"SV86-const","2026 May 12 06:48:51 AM","VACANT"
"61358","2026 May 12 06:48:43 AM","OCCUPIED"
"SV21","2026 May 12 06:48:03 AM","VACANT"
"WP95","2026 May 12 06:47:42 AM","OCCUPIED"
"61455","2026 May 12 06:46:53 AM","OCCUPIED"
"HO677","2026 May 12 06:46:44 AM","VACANT"
"SV305A","2026 May 12 06:45:57 AM","VACANT"
"SV288","2026 May 12 06:44:50 AM","VACANT"
"SV96","2026 May 12 06:44:48 AM","VACANT"
"SV11","2026 May 12 06:43:33 AM","VACANT"
"HO279","2026 May 12 06:42:54 AM","VACANT"
"HO665A","2026 May 12 06:40:51 AM","VACANT"
"HO15","2026 May 12 06:40:42 AM","OCCUPIED"
"WP12","2026 May 12 06:38:34 AM","VACANT"
"66205","2026 May 12 06:38:15 AM","VACANT"
"WP11","2026 May 12 06:38:10 AM","VACANT"
"WP97","2026 May 12 06:36:34 AM","OCCUPIED"
"SH392","2026 May 12 06:35:31 AM","VACANT"
"HO108","2026 May 12 06:34:53 AM","VACANT"
"SV873","2026 May 12 06:33:32 AM","OCCUPIED"
"61353","2026 May 12 06:32:25 AM","VACANT"
"HO235F","2026 May 12 06:30:29 AM","OCCUPIED"
"HO550","2026 May 12 06:30:11 AM","UNKNOWN"
"HO206","2026 May 12 06:29:31 AM","VACANT"
"SV353","2026 May 12 06:28:46 AM","VACANT"
"WP98","2026 May 12 06:28:33 AM","VACANT"
"HO452","2026 May 12 06:28:22 AM","VACANT"
"HO430","2026 May 12 06:28:11 AM","OCCUPIED"
"SV490","2026 May 12 06:26:45 AM","VACANT"
"WP136","2026 May 12 06:26:40 AM","VACANT"
"WP79","2026 May 12 06:26:19 AM","VACANT"
"61410","2026 May 12 06:25:32 AM","VACANT"
"CB4388","2026 May 12 06:25:02 AM","OCCUPIED"
"SV229","2026 May 12 06:24:07 AM","VACANT"
"WP160","2026 May 12 06:24:04 AM","VACANT"
"CB104","2026 May 12 06:23:47 AM","VACANT"
"HO258","2026 May 12 06:23:34 AM","OCCUPIED"
"SV121","2026 May 12 06:21:56 AM","VACANT"
"SV915","2026 May 12 06:21:36 AM","VACANT"
"61321","2026 May 12 06:20:13 AM","VACANT"
"SV128A","2026 May 12 06:19:46 AM","OCCUPIED"
"HO361","2026 May 12 06:18:25 AM","OCCUPIED"
"CB99","2026 May 12 06:16:43 AM","VACANT"
"SV732","2026 May 12 06:12:00 AM","VACANT"
"WP5","2026 May 12 06:10:47 AM","VACANT"
"SV204","2026 May 12 06:09:23 AM","VACANT"
"SV645","2026 May 12 06:09:20 AM","VACANT"
"HO462","2026 May 12 06:08:34 AM","OCCUPIED"
"HO254","2026 May 12 06:08:33 AM","OCCUPIED"
"SV702","2026 May 12 06:07:14 AM","VACANT"
"HO281","2026 May 12 06:07:03 AM","VACANT"
"SV200","2026 May 12 06:06:56 AM","VACANT"
"HO725","2026 May 12 06:06:15 AM","OCCUPIED"
"HO440","2026 May 12 06:05:46 AM","VACANT"
"SV251","2026 May 12 06:05:38 AM","OCCUPIED"
"CB1615","2026 May 12 06:04:51 AM","VACANT"
"HO262","2026 May 12 06:04:37 AM","VACANT"
"CB100","2026 May 12 06:04:35 AM","OCCUPIED"
"SV420","2026 May 12 06:03:53 AM","OCCUPIED"
"SV446A","2026 May 12 06:03:13 AM","OCCUPIED"
"SV618","2026 May 12 06:02:48 AM","OCCUPIED"
"SV541","2026 May 12 06:02:16 AM","VACANT"
"WP4","2026 May 12 06:02:03 AM","VACANT"
"SV394A","2026 May 12 06:01:30 AM","OCCUPIED"
"66203","2026 May 12 06:01:16 AM","VACANT"
"V208","2026 May 12 06:00:32 AM","VACANT"
"CB4383","2026 May 12 05:59:20 AM","OCCUPIED"
"SV23","2026 May 12 05:58:28 AM","VACANT"
"SV202A","2026 May 12 05:57:40 AM","VACANT"
"HO356","2026 May 12 05:56:33 AM","OCCUPIED"
"WP69A","2026 May 12 05:56:09 AM","VACANT"
"SV533","2026 May 12 05:55:56 AM","VACANT"
"WP72","2026 May 12 05:54:51 AM","VACANT"
"SH3","2026 May 12 05:54:16 AM","VACANT"
"SV93","2026 May 12 05:52:49 AM","VACANT"
"CB4342","2026 May 12 05:52:26 AM","VACANT"
"SV917","2026 May 12 05:52:09 AM","OCCUPIED"
"HO209","2026 May 12 05:51:15 AM","VACANT"
"82806","2026 May 12 05:50:53 AM","OCCUPIED"
"WP179","2026 May 12 05:50:49 AM","VACANT"
"SV22","2026 May 12 05:50:49 AM","VACANT"
"V68","2026 May 12 05:50:48 AM","VACANT"
"HO6","2026 May 12 05:50:01 AM","VACANT"
"SV403A","2026 May 12 05:49:02 AM","OCCUPIED"
"SV635","2026 May 12 05:48:57 AM","VACANT"
"61354","2026 May 12 05:47:29 AM","VACANT"
"SV614A","2026 May 12 05:46:42 AM","VACANT"
"SV829","2026 May 12 05:46:20 AM","VACANT"
"SV826","2026 May 12 05:46:19 AM","VACANT"
"HO665","2026 May 12 05:46:01 AM","UNKNOWN"
"V69","2026 May 12 05:45:28 AM","VACANT"
"V252","2026 May 12 05:45:09 AM","OCCUPIED"
"SH11","2026 May 12 05:44:49 AM","VACANT"
"SV631","2026 May 12 05:43:38 AM","VACANT"
"HO904","2026 May 12 05:43:05 AM","VACANT"
"HO906","2026 May 12 05:42:58 AM","VACANT"
"HO439","2026 May 12 05:42:51 AM","VACANT"
"61331","2026 May 12 05:42:33 AM","VACANT"
"SV133","2026 May 12 05:41:35 AM","VACANT"
"SH10","2026 May 12 05:40:39 AM","VACANT"
"V165","2026 May 12 05:40:32 AM","OCCUPIED"
"LZ113","2026 May 12 05:40:22 AM","VACANT"
"CB1248A","2026 May 12 05:40:17 AM","VACANT"
"SV333","2026 May 12 05:38:29 AM","VACANT"
"HO518","2026 May 12 05:37:02 AM","VACANT"
"LZ108","2026 May 12 05:37:00 AM","VACANT"
"SV940","2026 May 12 05:36:02 AM","OCCUPIED"
"SV140","2026 May 12 05:35:16 AM","OCCUPIED"
"SV735","2026 May 12 05:33:54 AM","VACANT"
