"the_geom","RouteID","RouteName","RouteNameS","Region","RegionType","TOOLTIP","NLA_URL"
"MULTILINESTRING ((-118.26136887100006 34.04988375700006, -118.26168537100006 34.049970429000076, -118.2618087530001 34.050054878000054, -118.2624953990001 34.050308224000084, -118.26317668000007 34.050557125000104, -118.26350390900005 34.05067713100007, -118.26370239300006 34.0507438010001, -118.26382577400007 34.0507438010001, -118.26400280000007 34.05081491500008, -118.26429247900006 34.050917142000095, -118.26485574200007 34.051139373000105, -118.2652151580001 34.0512727120001, -118.26560139700005 34.05144160700011, -118.26627731300012 34.0516949500001, -118.2674574850001 34.05224163300009, -118.2676184180001 34.05231719100008, -118.26718390000008 34.05301498400011, -118.26694250100009 34.053357212000066, -118.26665818700008 34.053801662000104, -118.26647043200006 34.053726105000095, -118.2657408710001 34.0533794350001, -118.26515615000007 34.053094986000104, -118.26398134200008 34.05261053100006, -118.26360046900008 34.05245941700011, -118.2628440860001 34.05213051900009, -118.2623291020001 34.051894956000105, -118.26208233800008 34.051783841000066, -118.26133132000007 34.051379383000075, -118.26110065000007 34.051308269000096, -118.26050519900008 34.050872695000095, -118.26096117500009 34.0503748940001, -118.2614573840001 34.0498704230001, -118.26139301100005 34.04985042200011, -118.26114624700006 34.04976152800007, -118.26078951400008 34.04965041100011, -118.2603979110001 34.049532626000065, -118.26009482100007 34.04944373200008, -118.25989365600009 34.04937706100006, -118.25985610500011 34.04941039700006, -118.25954496900009 34.04972597100008, -118.25918018800007 34.050110436000104, -118.25885832300008 34.050412674000064, -118.25872153000006 34.05054156900011, -118.25843989800006 34.05086602800006, -118.25808316500006 34.05123715500006, -118.25763791800007 34.0516949500001, -118.25721681100009 34.05210829600006, -118.25711220500004 34.052221632000084, -118.2569861410001 34.052366081000095, -118.25686007700004 34.052572753000085, -118.25655430600004 34.05289720400006, -118.25594276200009 34.05354388100009, -118.25574964300006 34.053741661000096, -118.2555565240001 34.053952774000074, -118.2553312180001 34.0541705530001, -118.25496912000006 34.054554999000096, -118.2547062640001 34.05481055400006, -118.25455069500009 34.05496388700007, -118.2544675470001 34.055086108000104, -118.2542207840001 34.05534610600009, -118.25393110500012 34.05565499200006, -118.2536950710001 34.05591943300007, -118.25356096000007 34.0559594320001, -118.2532417770001 34.05633275800008, -118.25310766700011 34.056481644000066, -118.25279384900006 34.056823858000065, -118.25250685200007 34.0571327380001, -118.25201332600004 34.057663832000095, -118.25177729100005 34.05790826700011, -118.2515010240001 34.05819270000009, -118.25131326900011 34.05836824700007, -118.25138837100008 34.05841046800006, -118.25150638800005 34.05847268700009, -118.25165659200007 34.05853712900009, -118.25175851600005 34.05858157100008, -118.25201600800006 34.05868823300008, -118.25235128400008 34.0588171150001, -118.25253903900006 34.05889933300009, -118.2528877260001 34.05860601400011, -118.25307279800008 34.05840380100008, -118.2526731490001 34.05815492300011, -118.25221180900006 34.05787493500006, -118.2518067960001 34.0576371660001, -118.25167536700008 34.05752605900008, -118.2512918110001 34.05728606700009, -118.25077414500011 34.056954965000074, -118.25071513700009 34.05687496800008, -118.25055420400008 34.056779415000086, -118.25002312700008 34.05644831100009, -118.24987292300005 34.056352758000095, -118.2496315240001 34.056206094000096, -118.24930965900006 34.05599276500008, -118.24881076800006 34.0557038800001, -118.24844062300008 34.05546388300011, -118.24789881700006 34.055099442000056, -118.2472926380001 34.05472166500007, -118.24691712900005 34.054486110000056, -118.24637532200008 34.05415277500006, -118.24596226200009 34.05388610700007, -118.24560284600007 34.05365054900008, -118.24455142000009 34.05296609400009, -118.24445486100007 34.052921649000076, -118.24412763100008 34.052699422000074, -118.24381649500009 34.05249941800005, -118.2435482740001 34.05224163300009, -118.24326932400008 34.052050516000094, -118.2429420950001 34.051801620000084, -118.24254512800007 34.05154383300007, -118.2421857120001 34.05128160100006, -118.24168145700007 34.050917142000095, -118.24149906600007 34.05075713500006, -118.24121475200008 34.05054823600009, -118.24059248000009 34.05010821400007, -118.24020087700005 34.049832643000094, -118.23995411400007 34.04964596600011, -118.23957860500006 34.04939706200006, -118.23940694300006 34.04928594400011, -118.23935329900007 34.049250387000065, -118.23932111300007 34.049232608000096, -118.2392084600001 34.04921482900008, -118.23862373800007 34.049077042000114, -118.23810875400007 34.04894814500009, -118.23758840600011 34.04887258400007, -118.23715925200008 34.048810358000054, -118.23663890400007 34.048761466000066, -118.23611855500008 34.04869923900006, -118.2361078260001 34.04787695600007, -118.23611319100007 34.047325799000106, -118.23611855500008 34.04663240400007, -118.2361078260001 34.046130133000105, -118.23611855500008 34.045787876000105, -118.23648870000005 34.04575676200008, -118.23639214000008 34.0456767530001, -118.2362741230001 34.04555674100008, -118.23611319100007 34.0454011680001, -118.23595225800007 34.04528560000009, -118.23521196800009 34.04484999600007, -118.23418200000009 34.044223255000105, -118.2339030500001 34.0440499000001, -118.23377966900006 34.04397433500006, -118.23377966900006 34.043880990000076, -118.23382258400005 34.04376542000009, -118.23401570300007 34.04357872900008, -118.23424637300006 34.0433342530001, -118.23439657700008 34.04317423100011, -118.2349759340001 34.04354761400006, -118.23557138400008 34.04388988000008, -118.23657453100009 34.04447217400011, -118.2367837430001 34.044627748000075, -118.23725581200006 34.04503668400005, -118.2375991340001 34.04533449400006, -118.23789954200011 34.0454945120001, -118.23825895800009 34.045614525000104, -118.23947131600009 34.04610346400009, -118.23978781700008 34.04620569600011, -118.2406139370001 34.046552396000074, -118.2410538200001 34.046703522000065, -118.24207305900006 34.047139116000075, -118.24233055100007 34.04725468200011, -118.24244856800009 34.04733468900005, -118.24241638200012 34.047530261000105, -118.2421803470001 34.04825031800008, -118.24184775400012 34.049032595000064, -118.2416653630001 34.04941484100008, -118.24125766800006 34.04992153700008, -118.24094116700007 34.0502815560001, -118.2408285140001 34.05043712000006, -118.24124157400009 34.050730467000086, -118.2413864140001 34.0508326940001, -118.24194431300008 34.05125937800008, -118.24266314500012 34.05174384000006, -118.24308157000009 34.05204607200009, -118.24355900300009 34.05238385900006, -118.2438218590001 34.05257053000006, -118.24424028400006 34.0528683150001, -118.2448464630001 34.05328165500007, -118.24520051500008 34.053530548000055, -118.24560284600007 34.0537972170001, -118.24616074600011 34.05416166400008, -118.2467722890001 34.054543888000104, -118.24733018900007 34.0548994430001, -118.2480221990001 34.055348329000054, -118.2486015560001 34.05572610200009, -118.24895560700008 34.05594387700009, -118.24934184600012 34.05618387200011, -118.24990510900004 34.0565260870001, -118.25011432200007 34.05665052900005, -118.25061589500007 34.05696607600007, -118.25071513700009 34.0569838540001, -118.25086265800009 34.05708385100011, -118.25135618400007 34.05740161900011, -118.25156539700008 34.057534947000114, -118.25173705800007 34.0576682760001, -118.25190335500008 34.0577704940001, -118.2523405550001 34.05803048400006, -118.25277239100006 34.0582993620001, -118.25297623900008 34.058419356000094, -118.25277775500007 34.05862156900005, -118.25265973800009 34.05869489900008, -118.25254172100004 34.05876600600008, -118.25246393700006 34.05878600600008, -118.25238615300007 34.05877489500009, -118.25219839800009 34.058697121000115, -118.25187653300007 34.05856823800011, -118.25156003200009 34.05844602200009, -118.25146615500006 34.058401579000105, -118.2515680790001 34.05830380600006, -118.2517826560001 34.05807048200009, -118.2521340250001 34.05769938600006, -118.25229227500006 34.0575527240001, -118.2525926830001 34.05726384500011, -118.25326323500008 34.056541643000095, -118.25353950300007 34.05622387200006, -118.2536762950001 34.056088319000054, -118.25370580000009 34.0559594320001, -118.25387209700006 34.05577499000007, -118.25412154200008 34.05550832700007, -118.25437635200007 34.055237218000094, -118.25453192000009 34.05507499700011, -118.2545533780001 34.05501055300008, -118.25427442800009 34.054834998000075, -118.25383454600008 34.05456166500009, -118.25354218500006 34.05438833200006, -118.25347244700009 34.054339443000096, -118.25379699500007 34.05399944100006, -118.25391501200009 34.05386610700007, -118.25413763500006 34.05362166000007, -118.25436294100005 34.05338165700008, -118.25470358100004 34.05300609500009, -118.25524270500004 34.052454972000106, -118.25569331600006 34.05198384800011, -118.25604468600007 34.0516305030001, -118.25657844500007 34.051086038000086, -118.25676888200007 34.05089047400006, -118.25723022200009 34.050434897000095, -118.25766205800011 34.04995709500006, -118.25804293200008 34.04950151300009, -118.2582923770001 34.0492281630001, -118.25869202600008 34.04880591300005, -118.25876712800009 34.04870368400007, -118.25894951800007 34.04882147000009, -118.25922042100008 34.04899925900006, -118.25950473500006 34.04917260400006, -118.25967639700006 34.049279277000075, -118.2598534230001 34.04937039400008, -118.26004385900006 34.04943706500009, -118.26021820300008 34.04949040100011, -118.26053470400007 34.049585963000055, -118.26110601400006 34.0498015310001, -118.26133132000007 34.04987709000008))","40","Route A","A","6","Downtown Dash","Route A","http://www.ladottransit.com/dash/?nla_win=p,75,75"
"MULTILINESTRING ((-118.2542234660001 34.050423786000096, -118.2560741900001 34.0516060580001, -118.25657844500007 34.051086038000086, -118.25687348800005 34.0507926920001, -118.25746893900009 34.05017043900009, -118.25878322100012 34.04866812600009, -118.25827896600009 34.04835699200007, -118.25633168200007 34.04710800300009, -118.25551092600007 34.046552396000074, -118.25529635000011 34.046787974000075, -118.25473308600012 34.047396916000054, -118.25430929700006 34.047841397000106, -118.25409472000007 34.048076971000086, -118.25309693800007 34.049170382000085, -118.25283944600007 34.049485957000094, -118.25302720100005 34.04961485300007, -118.25335443000007 34.049832643000094, -118.25361192200008 34.05000154200011, -118.25383186300007 34.05014377100011, -118.25304329400008 34.05102381300006, -118.2529038190001 34.051063815000106, -118.25229764000011 34.05172606200009, -118.25197577500006 34.05206385000006, -118.25139105300006 34.05271275600009, -118.2510477300001 34.0531216530001, -118.25043082200007 34.053743883000074, -118.2502377030001 34.05394833000006, -118.2501894240001 34.05403277500009, -118.2496798040001 34.05452611000007, -118.24932575200006 34.0548016650001, -118.24903070900005 34.0551527750001, -118.2486766580001 34.055588326000105, -118.24844598800007 34.05595721000007, -118.24805438500012 34.05657053100007, -118.2474696640001 34.057197181000085, -118.24713707000008 34.057534947000114, -118.24684202700007 34.05776160600007, -118.2464879750001 34.058072705000065, -118.24557602400006 34.057301622000104, -118.24468553100007 34.0565571980001, -118.24419736900006 34.05610831800007, -118.24395597000007 34.0559172100001, -118.24359655400009 34.05566388100008, -118.24278116200009 34.05497944200008, -118.24273824700009 34.05494388700007, -118.24224472000007 34.05452611000007, -118.24162781200009 34.053988330000074, -118.24091434500006 34.053357212000066, -118.24023574600007 34.0540683300001, -118.2400050760001 34.054172775000076, -118.23960542700007 34.05462833200008, -118.23956251100009 34.05475277600008, -118.23900997600008 34.05535277300007, -118.23822677100009 34.05633498100011, -118.2381731270001 34.05637942400009, -118.23807388500005 34.056394979000096, -118.23796927900008 34.05637498000008, -118.23772251600008 34.05621498300011, -118.23743820200009 34.056117207000085, -118.2373094560001 34.056574975000075, -118.23676228500004 34.05946152500011, -118.23747038800008 34.059734842000104, -118.2381623980001 34.05996593900009, -118.23856473000005 34.060130373000085, -118.23907434900006 34.0603036950001, -118.23922455300011 34.060357024000076, -118.23879003500008 34.06120140700009, -118.23838233900005 34.06204578100008, -118.23825895800009 34.06225909500009, -118.23683202300009 34.06177024900009, -118.23647797100006 34.06168136800009, -118.2362741230001 34.061632483000075, -118.23587179200007 34.0627212740001, -118.23564380400006 34.063387875000075, -118.23560893500007 34.06351452800008, -118.23595225800007 34.06367006700007, -118.23609978000007 34.06372117300007, -118.23637068300008 34.0638100520001, -118.23742210900008 34.06405224700009, -118.23780834700007 34.06416334600007, -118.23829650900007 34.06433888100006, -118.2386881110001 34.0644677550001, -118.23857545900007 34.06468550800006, -118.2383930680001 34.06507657100011, -118.23815167000011 34.065552066000095, -118.23804974600004 34.065769816000085, -118.2376474140001 34.0665563750001, -118.23721289600007 34.067262939000074, -118.23662281000009 34.06701853100006, -118.23611855500008 34.066818560000094, -118.23594152900004 34.0667407930001, -118.23686420900007 34.06528987800007, -118.23752671500006 34.063990032000085, -118.23636531800008 34.0637056190001, -118.23607564000008 34.063607851000064, -118.23577791500009 34.06348786400005, -118.23560357100007 34.063445646000076, -118.2354640960001 34.06389004300011, -118.2354372740001 34.06401447400007, -118.2354855540001 34.06409002100006, -118.23543191000012 34.064258891000094, -118.2352817060001 34.06453441400007, -118.2352066040001 34.064649956000075, -118.2354640960001 34.064729947000075, -118.23574304600011 34.064694395000096, -118.23581814800008 34.0645077510001, -118.23589861400008 34.06432555000006, -118.23596835100005 34.06414334800011, -118.23558211300006 34.064010030000105, -118.23567330800006 34.06375672400006, -118.23586642700008 34.063258999000055, -118.2363545890001 34.06173469700011, -118.23834210600008 34.06239463900008, -118.23844671200008 34.06221909900009, -118.23890805200006 34.06129917700006, -118.23939085000008 34.060321471000094, -118.23885440800007 34.060143705000065, -118.23836088200004 34.0599481620001, -118.23777616000007 34.05974817500007, -118.23686420900007 34.05944152600009, -118.23692590000007 34.0592237600001, -118.23711633700007 34.05812603600006, -118.23744893100007 34.0567305270001, -118.23751330400006 34.05646386700008, -118.23811680100009 34.05652164300008, -118.23828578000007 34.05646386700008, -118.2383716110001 34.056312759000065, -118.23899388300009 34.0555838820001, -118.23965907100006 34.05481055400006, -118.23978781700008 34.05476611000009, -118.24019551300006 34.05427722000011, -118.2402625680001 34.0541749980001, -118.2403081660001 34.05409944200009, -118.24090898000007 34.05351277000009, -118.24145883300007 34.053981663000094, -118.24150443100007 34.05408166400011, -118.24241101700004 34.05480610900006, -118.2429420950001 34.05527721800011, -118.24349463000011 34.05574832400007, -118.24387550400007 34.05601054200006, -118.24422955500006 34.05634831400008, -118.24447631800007 34.05656164200011, -118.24556529500006 34.0574816160001, -118.24646115300011 34.058250475000115, -118.24674010300009 34.05799715200008, -118.24712634100005 34.05768160900008, -118.24761986700008 34.05721940200008, -118.24815094500006 34.05663719600009, -118.24843525900008 34.0561794280001, -118.24873030200008 34.05581499000008, -118.24894487900008 34.0555794370001, -118.24942767600008 34.0549883310001, -118.24969589700011 34.054743888000104, -118.2502216100001 34.054228331000076, -118.25031817000009 34.054112775000114, -118.25046837300012 34.0540683300001, -118.2507795100001 34.05375277200009, -118.25113892600008 34.05337054600008, -118.25175583400012 34.05268608900011, -118.25205087700009 34.05234830300006, -118.25253367400008 34.05181050900009, -118.2531023030001 34.05117493000009, -118.25310766700011 34.05106825900007, -118.25394988100008 34.05020155200007, -118.25406789800009 34.050290446000105, -118.25418591500011 34.0503793390001))","29","Route B","B","6","Downtown Dash","Route B","http://www.ladottransit.com/dash/?nla_win=p,75,75"
"MULTILINESTRING ((-118.24701905300007 34.05020599700007, -118.2472255830001 34.04997265100011, -118.24749112100004 34.04971708100007, -118.24820995300006 34.04898370300007, -118.24864983600008 34.04849922500009, -118.24878394600007 34.04835699200007, -118.24927210800007 34.047814729000066, -118.24977904600009 34.04728135100007, -118.25021624600011 34.04677463900007, -118.2505086060001 34.04644794200007, -118.25083315400009 34.04607679400008, -118.25132668000008 34.045574520000095, -118.25172901200006 34.045161142000076, -118.25198918600007 34.04487888800006, -118.25248003000009 34.04433437900011, -118.25309157400007 34.04366763000011, -118.25376480800007 34.04300309700008, -118.25385332100005 34.04290752800009, -118.25405716900006 34.04264082500006, -118.2543200250001 34.04230299800006, -118.25459361100008 34.042000732000105, -118.25499862400005 34.04161178400008, -118.25551092600007 34.041267287000075, -118.25604468600007 34.04092501000006, -118.25673937800009 34.04046938000008, -118.25760841400007 34.04105392000006, -118.2582360510001 34.04147176300009, -118.25846672100009 34.04162289700006, -118.25863301800008 34.04145620500007, -118.25915873100007 34.040893894000114, -118.25970590100009 34.04031602100005, -118.25997412200007 34.04001819200008, -118.26054811500006 34.03942253200009, -118.26089143800012 34.039055799000074, -118.26112210800005 34.03880019700009, -118.26157808300007 34.038306770000105, -118.26206088100007 34.037786669000106, -118.26218426200006 34.0376488640001, -118.2628011700001 34.03804449700008, -118.26380968100004 34.038604605000074, -118.26430857200006 34.03887576600008, -118.26450169100008 34.0385557060001, -118.26471626800009 34.038226755000075, -118.26506495500007 34.037671090000096, -118.26523661600008 34.037435487000074, -118.2654672860001 34.03709764100009, -118.26559603200006 34.036888708000085, -118.2659929990001 34.03628413600009, -118.26623439800011 34.03591516600008, -118.26652407600004 34.03544839600008, -118.2668191190001 34.03502163200008, -118.26708734000009 34.034559302000076, -118.26748430700007 34.0339813850001, -118.2679724690001 34.033234534000066, -118.2687181230001 34.032096462000055, -118.26939940500004 34.03101172300009, -118.26967835400006 34.03055826300008, -118.26958179500008 34.03050491400009, -118.26893806500009 34.030220389000114, -118.26861619900006 34.030762765000105, -118.2678866390001 34.03181194200008, -118.26667428000006 34.03356350500011, -118.26626658400009 34.03412364200009, -118.26551556600009 34.03503052300008, -118.26411008800005 34.03679980100006, -118.26363802000009 34.03734213500011, -118.26329469700012 34.03820452800009, -118.2632786040001 34.038306770000105, -118.26295673800007 34.038640167000075, -118.26220035600011 34.03944031300009, -118.26112210800005 34.03872462700011, -118.26095581100009 34.03890688300007, -118.2603549960001 34.03956033500007, -118.26001167300005 34.03991150700009, -118.25974345200007 34.040200446000064, -118.2593303920001 34.04064496400011, -118.25884759400009 34.04116060300007, -118.25861424200008 34.041391751000084, -118.25846135600005 34.041560666000095, -118.25785249500007 34.04115171300007, -118.2574394350001 34.04087166800011, -118.25675278900006 34.04040937000011, -118.25648188600009 34.04057161900008, -118.2550925020001 34.04149621100007, -118.25486183200007 34.041625120000084, -118.2545480130001 34.041802925000106, -118.25404912200008 34.042165201000074, -118.25359046500006 34.04247635700009, -118.25325250600008 34.042709723000065, -118.25307816300005 34.04282307200007, -118.25266242000008 34.043089775000084, -118.2523405550001 34.04328980200009, -118.25191408400008 34.0435720620001, -118.25154662100012 34.04381431500011, -118.25137764200008 34.0439387750001, -118.25118452300006 34.044105463000086, -118.25094580700011 34.04430993200007, -118.25066685700006 34.04456774100007, -118.2502886650001 34.04493445000006, -118.25005531300006 34.04515225200007, -118.2492104170001 34.04598789600007, -118.24894219600007 34.04626570200006, -118.24858278000009 34.04664796100011, -118.24828237300004 34.04696576800009, -118.2480409740001 34.04723023600011, -118.24760109200008 34.04769694100006, -118.24728995600009 34.048036968000105, -118.24678838300008 34.04858367500006, -118.24654698400008 34.04884591600009, -118.24608564400006 34.04932594700009, -118.24579060100005 34.049597074000104, -118.24548482900006 34.04995709500006, -118.24496984500006 34.0505082340001, -118.24459433600009 34.05093492000006, -118.24418664000007 34.051361604000114, -118.24353218100008 34.05206385000006, -118.2432290910001 34.05238385900006, -118.24288845100007 34.05272164500011, -118.24231445800008 34.05336165700007, -118.24210524600012 34.05363721600006, -118.24174583000006 34.05400166300009, -118.2416492700001 34.0541038860001, -118.24123084500009 34.05369055000009, -118.24091166300008 34.0533994350001, -118.23981195700007 34.052503862000066, -118.23940694300006 34.05216163100008, -118.23917090900005 34.05196162500008, -118.23832333100006 34.05126382300009, -118.23800146600009 34.05099714500009, -118.2376420500001 34.05076157900007, -118.23739528700008 34.05067713100007, -118.2370412350001 34.050588238000074, -118.2365316150001 34.05051267900009, -118.23614537700006 34.05048601100006, -118.2354480030001 34.05045934300009, -118.23487401000007 34.05038378400011, -118.23403716100006 34.05025044400006, -118.23354363400007 34.050197108000106, -118.23351144800006 34.0503748940001, -118.23342561700007 34.05077491300008, -118.2333451510001 34.05123715500006, -118.23322176900005 34.05186384400005, -118.2330715660001 34.052743868000086, -118.23304742600011 34.0528527590001, -118.23238492000007 34.052779424000086, -118.23178142300009 34.052710534000056, -118.2314220070001 34.052663866000074, -118.23136031600006 34.052663866000074, -118.23143005400011 34.05296165000008, -118.23143810000009 34.05317276500009, -118.2314354180001 34.053241655000114, -118.23137909200005 34.05330610000007, -118.23133349400008 34.05342832400007, -118.23130399000009 34.05359054800008, -118.23124229900009 34.053881662000066, -118.23123157000009 34.05393277400006, -118.2312503460001 34.05399721900009, -118.2312181590001 34.0541038860001, -118.2312181590001 34.05421944200007, -118.23124766300009 34.054328332000104, -118.23133349400008 34.05447055400007, -118.23141932500009 34.05457277600008, -118.23156416400008 34.05468166500007, -118.23195040200007 34.05491499800011, -118.2320147750001 34.05499944200008, -118.23226422100008 34.05513499700007, -118.23256462800009 34.055206107000096, -118.23295623100007 34.05528610700006, -118.2330098750001 34.05501499800008, -118.23309838800009 34.054588332000066, -118.23324590900005 34.05455722100007, -118.23335588000009 34.05456611000008, -118.23349803700006 34.0546327760001, -118.23345780400007 34.05488388700011, -118.23340416000008 34.05512833000009, -118.23334246900008 34.05545277200006, -118.23327004900004 34.055806101000066, -118.23318690100007 34.055906099000055, -118.23309570600007 34.05591943300007, -118.23301792100004 34.055906099000055, -118.23293745500007 34.05586832200007, -118.23289454000007 34.05577499000007, -118.23295354800007 34.05540610600011, -118.23300719300009 34.05511277500009, -118.23274701800007 34.05507721900009, -118.2325351240001 34.05505277500007, -118.23229640700009 34.055026109000075, -118.2322132590001 34.05497499800007, -118.23207378400008 34.054917220000085, -118.23199868200011 34.05491277600007, -118.2317036390001 34.05472166500007, -118.23158562200008 34.05465499900007, -118.23144346500008 34.05454611000008, -118.23136568100006 34.054441665000105, -118.23130935400009 34.0543549980001, -118.23127985000009 34.054261665000105, -118.23127448600006 34.05406388600009, -118.23128521400008 34.05399944100006, -118.23134154100006 34.053946107000094, -118.23137372700006 34.05380832800009, -118.2314220070001 34.05357499300007, -118.2314649220001 34.053397213000075, -118.23149174500008 34.053308322000106, -118.2314568760001 34.05321054300007, -118.23147028700009 34.053130542000105, -118.2315024730001 34.0530305400001, -118.23153466000008 34.05290831500006, -118.23158830400007 34.0528172030001, -118.2317143680001 34.052757201000105, -118.23180019900009 34.052741645000054, -118.23213011000009 34.05277053500007, -118.23272556100005 34.052839425000094, -118.23308497700008 34.05287720400006, -118.23311448100007 34.05276609000007, -118.23317349000006 34.052401637000095, -118.23322713400005 34.05208162800009, -118.2333022360001 34.05168161600008, -118.23340416000008 34.05116159600008, -118.23344171000008 34.05091491900007, -118.23351413000007 34.05054379100009, -118.2335785030001 34.05023488700008, -118.23405325400007 34.050308224000084, -118.2341498140001 34.0503260030001, -118.23539435900007 34.050503789000096, -118.23639750500006 34.050539347000075, -118.2365369800001 34.05054156900011, -118.2371217010001 34.0506504630001, -118.23757231200005 34.050777136000114, -118.23778420700006 34.05089491900006, -118.23836356400005 34.05135271500009, -118.2386586070001 34.05159939100006, -118.23893219200009 34.05185273300007, -118.23925674000009 34.052112741000066, -118.23973417300009 34.052497195000086, -118.24014455100007 34.052832758000115, -118.24067026400007 34.053259433000086, -118.24086338300009 34.05341943500006, -118.2410833240001 34.053612771000104, -118.24135154500009 34.053872773000116, -118.24145883300007 34.053981663000094, -118.24159830800009 34.054114997000084, -118.24177533400008 34.05424166500009, -118.24204891900007 34.05446833200009, -118.24245393300008 34.054792776000085, -118.24264705200005 34.054923887000065, -118.24279725600007 34.054759443000115, -118.2432532310001 34.05426833100009, -118.24343830300006 34.054066108000065, -118.24372530000011 34.05371721600009, -118.24401497800007 34.0534149910001, -118.24434757200008 34.053059430000104, -118.2451039550001 34.052272745000074, -118.24572086300009 34.05159716800009, -118.2461768390001 34.0510993720001, -118.24660599200007 34.050659352000054, -118.2470029590001 34.0502326650001))","40","Route D","D","6","Downtown Dash","Route D","http://www.ladottransit.com/dash/?nla_win=p,75,75"
