regime,method,n_effective,n_reference,n_true_positive,precision,recall,jaccard,n_off_adjacency,targets_with_fewer_than_k_road_sources
free_flow,effective_top_k,24,27,6,0.25,0.2222222222222222,0.13333333333333333,18,
free_flow,effective_cumulative_mass,445,27,26,0.058426966292134834,0.9629629629629629,0.05829596412556054,419,
free_flow,uniform_random,24,27,0,0.0,0.0,0.0,24,
free_flow,degree_matched_random,24,27,0,0.0,0.0,0.0,24,
free_flow,nearest_by_road_distance,24,27,24,1.0,0.8888888888888888,0.8888888888888888,0,0.0
