target,sensor_id,lat,lon,in_degree,mass_off_adjacency,mass_on_no_road_path,mass_on_far_road,self_mass_share,missing_pct,longest_missing_run_steps,longest_constant_nonzero_run_steps,max_mph,pct_above_80mph,mean_nonzero_mph
1,767541,34.11621,-118.23799,10,0.9467,0.4919,0.4548,0.0148,6.27,381,3,70.0,0.0,64.5
2,767542,34.11641,-118.23819,8,0.9405,0.6058,0.3347,0.0079,6.27,381,3,70.0,0.0,64.79
0,773869,34.15497,-118.31829,9,0.9396,0.6472,0.2925,0.0147,11.213,1118,3,70.0,0.0,61.53
