target,sensor_id,lat,lon,in_degree,mass_off_adjacency,mass_on_no_road_path,mass_on_far_road,self_mass_share,missing_pct,longest_missing_run_steps,longest_constant_nonzero_run_steps,max_mph,pct_above_80mph,mean_nonzero_mph
117,717571,34.15326,-118.35921,5,0.9725,0.6853,0.2872,0.0163,6.355,381,3,70.0,0.0,61.67
174,716939,34.04301,-118.21724,4,0.9723,0.7945,0.1779,0.0109,18.861,905,3,70.0,0.0,52.64
147,759602,34.12199,-118.27178,5,0.9721,0.5356,0.4365,0.0133,8.978,381,3,70.0,0.0,60.84
74,765176,34.13286,-118.35135,5,0.9716,0.7402,0.2314,0.0147,6.463,381,4,70.0,0.0,62.88
70,717490,34.14745,-118.37124,5,0.9712,0.7606,0.2106,0.0086,11.779,1683,3,69.8,0.0,59.1
115,717573,34.15384,-118.325,4,0.9705,0.6724,0.2981,0.0142,7.925,381,3,70.0,0.0,62.02
55,767470,34.15699,-118.22436,5,0.9703,0.6794,0.2909,0.0155,10.192,402,3,70.0,0.0,60.81
119,764760,34.13401,-118.35506,5,0.9702,0.7401,0.2301,0.0149,6.329,381,4,70.0,0.0,61.23
145,761003,34.15546,-118.30841,5,0.97,0.7159,0.2541,0.0139,6.358,381,5,70.0,0.0,63.45
180,717510,34.17128,-118.51976,4,0.97,0.8228,0.1472,0.0126,15.044,381,3,70.0,0.0,58.03
134,716951,34.08581,-118.23182,5,0.9691,0.7703,0.1988,0.0151,8.199,381,3,70.0,0.0,57.74
65,767751,34.09335,-118.20616,5,0.9688,0.6943,0.2745,0.0138,6.679,381,5,70.0,0.0,62.47
31,764424,34.17878,-118.39469,5,0.9683,0.7207,0.2476,0.0135,9.171,381,3,70.0,0.0,65.85
64,767750,34.09335,-118.20635,6,0.9681,0.6907,0.2775,0.0154,6.682,381,3,70.0,0.0,63.45
164,769345,34.15655,-118.40441,5,0.968,0.6808,0.2872,0.0148,6.527,381,4,70.0,0.0,55.57
73,717493,34.15434,-118.39618,5,0.96765,0.7255499999999999,0.24209999999999998,0.0072,7.149,381,4,70.0,0.0,51.72
158,764794,34.16028,-118.46808,6,0.9666,0.7642,0.2025,0.0176,6.349,381,3,70.0,0.0,54.6
35,769941,34.20699,-118.20237,5,0.9663,0.9112,0.0551,0.0117,6.618,381,3,70.0,0.0,61.03
165,716943,34.05987,-118.21492,7,0.9663,0.7842,0.1821,0.0108,8.307,381,3,70.0,0.0,51.78
14,765273,34.18949,-118.47437,5,0.966,0.8248,0.1413,0.0102,6.375,381,3,70.0,0.0,55.71
116,717572,34.15351,-118.32751,6,0.9657,0.734,0.2316,0.0167,6.308,381,3,70.0,0.0,61.46
36,760987,34.15359,-118.34043,5,0.9656,0.6902,0.2755,0.0157,16.141,1014,4,70.0,0.0,65.13
135,767509,34.11059,-118.24819,6,0.9655,0.557,0.4085,0.0159,6.486,381,3,70.0,0.0,62.62
32,769388,34.11027,-118.33441,5,0.9647,0.6741,0.2906,0.0157,8.911,472,3,70.0,0.0,63.85
186,717823,34.20264,-118.47326,5,0.964,0.8051,0.1589,0.0171,6.297,381,3,70.0,0.0,61.02
131,765099,34.16378,-118.47224,6,0.9636,0.7747,0.1889,0.0173,6.332,381,3,70.0,0.0,54.39
172,772178,34.16903,-118.49885,6,0.9633499999999999,0.8123,0.15105000000000002,0.01075,6.384,381,5,70.0,0.0,54.82
38,718045,34.06712,-118.23973,6,0.96305,0.7148,0.2482,0.008799999999999999,9.991,857,3,70.0,0.0,48.97
204,772168,34.16542,-118.47985,6,0.9628,0.8024,0.1603,0.012,6.273,381,4,70.0,0.0,58.36
84,767053,34.17091,-118.46775,6,0.9626,0.80935,0.15325,0.00625,6.349,381,3,70.0,0.0,51.14
41,772140,34.16498,-118.47493,6,0.9626,0.8199,0.1428,0.0112,9.034,381,3,70.0,0.0,57.35
9,717816,34.15562,-118.4686,7,0.9615,0.78055,0.18095,0.01045,6.749,381,5,70.0,0.0,56.7
102,717489,34.13876,-118.36438,7,0.9608,0.6486,0.3122,0.0067,7.041,381,3,68.0,0.0,56.11
156,764106,34.17169,-118.38801,6,0.9607,0.7021,0.2587,0.0131,6.268,381,3,66.0,0.0,55.81
88,767350,34.18011,-118.47045,7,0.96025,0.8002,0.16015000000000001,0.01095,6.346,381,4,70.0,0.0,59.61
201,717590,34.14929,-118.23182,5,0.9588,0.7674,0.1914,0.0166,9.06,852,4,70.0,0.0,65.24
140,718496,34.15403,-118.34232,7,0.9586,0.6826,0.276,0.0121,10.7,1134,39,70.0,0.0,55.56
69,717497,34.15685,-118.41456,7,0.9586,0.7327,0.2259,0.0156,6.481,381,4,70.0,0.0,58.61
129,759591,34.11521,-118.26825,8,0.9581,0.4967,0.4613,0.011,10.131,564,3,70.0,0.0,60.15
5,717445,34.06913,-118.25932,8,0.9576,0.733,0.2246,0.0077,6.37,381,3,70.0,0.0,54.42
94,717483,34.11684,-118.33698,8,0.9572,0.6799,0.2772,0.0153,7.268,381,3,69.1,0.0,58.97
111,773916,34.15247,-118.2852,7,0.9572,0.776,0.1812,0.016,7.726,381,5,70.0,0.0,62.13
57,764949,34.12881,-118.34684,7,0.9571,0.7373,0.2198,0.0123,6.393,381,3,70.0,0.0,55.43
34,717819,34.18784,-118.47407,5,0.9568,0.7961,0.1607,0.0114,6.373,381,4,70.0,0.0,63.1
133,716953,34.09458,-118.24279,7,0.9568,0.7537,0.2031,0.0118,8.727,857,4,70.0,0.0,56.42
49,716956,34.10658,-118.25544,8,0.9561,0.5416,0.4145,0.0132,8.001,381,3,70.0,0.0,60.08
58,773954,34.15544,-118.29344,8,0.9561,0.7108,0.2453,0.0137,6.335,381,3,70.0,0.0,60.21
197,772167,34.16526,-118.47985,9,0.9559,0.8296,0.1262,0.0143,6.682,381,3,65.0,0.0,40.51
54,773953,34.15522,-118.29344,8,0.9558,0.7298,0.2261,0.0136,6.384,381,3,70.0,0.0,58.31
42,773927,34.15262,-118.28034,7,0.9557,0.7611,0.1946,0.0161,9.349,578,10,70.0,0.0,60.14
199,774204,34.15397,-118.34172,7,0.9557,0.6811,0.2746,0.0146,10.636,1134,5,70.0,0.0,57.31
139,716958,34.11167,-118.26501,5,0.9552,0.4735,0.4817,0.0123,8.751,381,3,70.0,0.0,54.93
48,760650,34.07505,-118.23256,8,0.9548,0.73465,0.2202,0.0068000000000000005,8.756,857,3,70.0,0.0,49.92
45,774011,34.14747,-118.20123,7,0.9545,0.6777,0.2768,0.0164,7.546,442,3,70.0,0.0,66.27
10,765604,34.16415,-118.38223,8,0.9543,0.662,0.2923,0.0131,7.02,381,3,70.0,0.0,60.34
78,718064,34.11296,-118.24489,7,0.9542,0.6682,0.286,0.0129,6.288,381,4,70.0,0.0,64.07
60,769444,34.15555,-118.43908,8,0.9538,0.7247,0.2292,0.0119,10.708,1330,3,70.0,0.0,54.22
71,717491,34.14761,-118.3711,10,0.9538,0.6784,0.2754,0.0143,11.747,1683,4,70.0,0.0,60.76
141,769346,34.15677,-118.40424,10,0.95365,0.6898,0.2638,0.00975,6.545,381,3,70.0,0.0,56.95
205,718141,34.15133,-118.37456,7,0.9526,0.6954,0.2572,0.0129,7.37,381,10,70.0,0.0,63.61
167,717582,34.15646,-118.26092,5,0.9525,0.6629,0.2896,0.0127,6.53,381,4,70.0,0.0,66.26
63,769443,34.15574,-118.43931,8,0.9524,0.6852,0.2672,0.0165,10.732,1330,3,70.0,0.0,57.46
143,718499,34.15469,-118.31253,6,0.9522,0.7023,0.2499,0.0155,9.089,381,4,70.0,0.0,58.97
39,769418,34.12659,-118.34465,8,0.952,0.7077,0.2444,0.0107,15.607,422,3,70.0,0.0,57.39
118,717570,34.15302,-118.35921,9,0.9515,0.6876,0.2639,0.0137,6.857,381,5,70.0,0.0,65.86
11,767471,34.15691,-118.22469,9,0.9511,0.6756,0.2755,0.0154,11.89,402,5,70.0,0.0,63.12
173,717585,34.15564,-118.24188,6,0.951,0.6511,0.2999,0.0132,9.953,854,4,70.0,0.0,65.43
177,767554,34.11966,-118.23143,9,0.9509,0.5172,0.4337,0.0152,6.58,381,3,70.0,0.0,61.99
24,717578,34.15478,-118.27076,7,0.9509,0.6744,0.2765,0.0137,6.478,381,5,70.0,0.0,63.85
89,767351,34.18022,-118.47022,7,0.9506,0.7358,0.2148,0.0134,6.273,381,3,70.0,0.0,63.35
28,767573,34.12964,-118.22901,8,0.9504,0.5936,0.3568,0.0174,6.586,381,3,70.0,0.0,66.16
110,717099,34.15648,-118.24674,8,0.9497,0.7153,0.2344,0.0154,8.967,852,3,70.0,0.0,64.6
3,717447,34.07248,-118.26772,9,0.949,0.6538,0.2953,0.0098,6.343,381,3,70.0,0.0,52.88
37,718204,34.15541,-118.29575,8,0.9489,0.7218,0.227,0.0146,13.501,1118,9,70.0,0.0,62.69
53,716554,34.15597,-118.2666,7,0.9489,0.6875,0.2614,0.0079,8.762,854,3,70.0,0.0,54.78
76,717499,34.15666,-118.44808,8,0.94885,0.7941,0.1547,0.010100000000000001,6.472,381,3,68.0,0.0,50.39
17,716337,34.07732,-118.28186,9,0.9486,0.6516,0.297,0.0101,6.338,381,3,70.0,0.0,56.82
114,717576,34.15559,-118.2957,8,0.9478,0.695,0.2528,0.0142,13.641,1118,14,70.0,0.0,64.14
81,769431,34.15843,-118.45664,9,0.9477,0.7244,0.2233,0.0132,10.717,1330,4,70.0,0.0,51.37
77,765171,34.16789,-118.46896,10,0.9474499999999999,0.76955,0.1779,0.0072499999999999995,7.901,381,3,70.0,0.0,55.34
151,765265,34.18529,-118.47395,7,0.9472,0.7656,0.1816,0.0112,6.323,381,3,70.0,0.0,55.06
136,765182,34.06491,-118.25126,10,0.9472,0.6976,0.2496,0.0156,6.539,381,4,70.0,0.0,62.12
101,718371,34.09017,-118.23849,7,0.9467,0.7093,0.2374,0.0112,8.739,381,3,70.0,0.0,56.87
67,773880,34.15367,-118.3484,9,0.9465,0.6961,0.2504,0.0148,6.974,381,5,70.0,0.0,66.75
6,773062,34.05368,-118.23369,10,0.9463,0.702,0.2444,0.0105,6.349,381,3,70.0,0.0,58.16
192,717452,34.07502,-118.27356,10,0.9462,0.6446,0.3016,0.0133,6.343,381,3,70.0,0.0,58.36
2,767542,34.11641,-118.23819,8,0.9459,0.6003,0.3456,0.0131,6.27,381,3,70.0,0.0,64.79
142,773904,34.15641,-118.30266,9,0.9448,0.6465,0.2983,0.0136,7.671,381,5,70.0,0.0,58.83
91,773023,34.05773,-118.24348,10,0.9445,0.7231,0.2215,0.0086,6.323,381,3,66.6,0.0,38.47
0,773869,34.15497,-118.31829,9,0.9443,0.6325,0.3117,0.0134,11.213,1118,3,70.0,0.0,61.53
137,769358,34.15679,-118.42222,7,0.9422,0.6902,0.2521,0.0082,6.536,381,3,70.0,0.0,53.77
113,769467,34.15451,-118.39699,10,0.942,0.7236,0.2184,0.0113,6.3,381,4,70.0,0.0,57.23
196,771673,34.07787,-118.22871,12,0.9418,0.7372,0.2047,0.0092,8.415,381,3,70.0,0.0,32.76
7,767620,34.13486,-118.22932,10,0.9415,0.6311,0.3103,0.0144,9.503,402,3,70.0,0.0,63.27
138,772513,34.06871,-118.23661,10,0.9415,0.6756,0.2658,0.0127,8.923,381,3,70.0,0.0,60.73
144,764853,34.06461,-118.25102,11,0.9408000000000001,0.66075,0.28005,0.00885,6.481,381,15,70.0,0.0,40.76
19,769402,34.12095,-118.33911,11,0.9408,0.671,0.2697,0.0116,6.58,381,3,68.7,0.0,58.43
175,768469,34.13583,-118.35993,10,0.9405,0.6772,0.2633,0.0136,6.609,381,3,70.0,0.0,60.85
20,769403,34.12073,-118.33928,10,0.9401,0.631,0.3091,0.0159,6.682,381,4,70.0,0.0,64.38
33,716328,34.06664,-118.25397,12,0.94,0.6455,0.2945,0.014,6.603,381,4,70.0,0.0,58.84
166,772669,34.07828,-118.22834,12,0.9395,0.7172,0.2223,0.0179,10.595,399,64,70.0,0.0,63.69
92,767585,34.16556,-118.22432,8,0.9393,0.6612,0.278,0.0136,10.513,402,4,70.0,0.0,67.3
96,717481,34.10634,-118.32826,10,0.939,0.6863,0.2527,0.0147,15.065,390,8,70.0,0.0,65.82
183,767495,34.10377,-118.24992,9,0.9383,0.5268,0.4115,0.0161,9.676,393,7,70.0,0.0,67.71
107,767455,34.14347,-118.22704,8,0.9379,0.6595,0.2784,0.0142,10.414,402,6,70.0,0.0,67.73
