regime,target,sensor_id,lat,lon,in_degree,self_mass_share,mass_on_adjacent,mass_on_far_road,mass_on_no_road_path,mass_off_adjacency
free_flow,52,717495,34.15664,-118.41326,4,0.0163,0.0224,0.2397,0.7379,0.9776
free_flow,202,717592,34.14604,-118.2243,4,0.0147,0.0225,0.2578,0.7197,0.9775
free_flow,203,717595,34.14163,-118.1829,3,0.0153,0.0226,0.1847,0.7927,0.9774
free_flow,106,718072,34.1491,-118.2257,3,0.0162,0.0236,0.2238,0.7526,0.9764
free_flow,124,716942,34.0593,-118.21451,4,0.0127,0.024,0.1699,0.8061,0.976
free_flow,87,772597,34.17109,-118.50495,3,0.0164,0.0242,0.1452,0.8306,0.9758
free_flow,25,716960,34.12121,-118.27164,3,0.012,0.0244,0.2688,0.7068,0.9756
free_flow,182,717825,34.22164,-118.47307,3,0.0148,0.025,0.1045,0.8705,0.975
free_flow,100,772151,34.16928,-118.49872,4,0.0102,0.025,0.1203,0.8547,0.975
free_flow,104,717818,34.1722,-118.46753,4,0.0126,0.0253,0.1934,0.7813,0.9747
free_flow,122,717608,34.17154,-118.38812,5,0.0134,0.0258,0.2162,0.758,0.9742
free_flow,120,718089,34.12769,-118.27372,3,0.0123,0.026,0.2653,0.7086,0.974
free_flow,62,774067,34.15362,-118.28441,5,0.0151,0.027,0.2737,0.6993,0.973
free_flow,75,717498,34.15571,-118.43273,5,0.0088,0.027,0.244,0.729,0.973
free_flow,176,764101,34.16421,-118.38246,4,0.0152,0.0271,0.2239,0.7491,0.9729
free_flow,86,772596,34.17126,-118.50495,4,0.0158,0.0272,0.1601,0.8127,0.9728
free_flow,117,717571,34.15326,-118.35921,5,0.0163,0.0275,0.2872,0.6853,0.9725
free_flow,174,716939,34.04301,-118.21724,4,0.0109,0.0277,0.1779,0.7945,0.9723
free_flow,147,759602,34.12199,-118.27178,5,0.0133,0.0279,0.4365,0.5356,0.9721
free_flow,74,765176,34.13286,-118.35135,5,0.0147,0.0284,0.2314,0.7402,0.9716
free_flow,70,717490,34.14745,-118.37124,5,0.0086,0.0288,0.2106,0.7606,0.9712
free_flow,148,717504,34.16519,-118.49166,4,0.015,0.0294,0.15,0.8206,0.9706
free_flow,115,717573,34.15384,-118.325,4,0.0142,0.0295,0.2981,0.6724,0.9705
free_flow,47,769359,34.1566,-118.42216,5,0.011,0.0296,0.3047,0.6657,0.9704
free_flow,55,767470,34.15699,-118.22436,5,0.0155,0.0297,0.2909,0.6794,0.9703
free_flow,119,764760,34.13401,-118.35506,5,0.0149,0.0298,0.2301,0.7401,0.9702
free_flow,145,761003,34.15546,-118.30841,5,0.0139,0.03,0.2541,0.7159,0.97
free_flow,180,717510,34.17128,-118.51976,4,0.0126,0.03,0.1472,0.8228,0.97
free_flow,134,716951,34.08581,-118.23182,5,0.0151,0.0309,0.1988,0.7703,0.9691
free_flow,65,767751,34.09335,-118.20616,5,0.0138,0.0312,0.2745,0.6943,0.9688
free_flow,31,764424,34.17878,-118.39469,5,0.0135,0.0317,0.2476,0.7207,0.9683
free_flow,64,767750,34.09335,-118.20635,6,0.0154,0.0319,0.2775,0.6907,0.9681
free_flow,164,769345,34.15655,-118.40441,5,0.0148,0.032,0.2872,0.6808,0.968
free_flow,158,764794,34.16028,-118.46808,6,0.0176,0.0334,0.2025,0.7642,0.9666
free_flow,35,769941,34.20699,-118.20237,5,0.0117,0.0337,0.0551,0.9112,0.9663
free_flow,165,716943,34.05987,-118.21492,7,0.0108,0.0337,0.1821,0.7842,0.9663
free_flow,14,765273,34.18949,-118.47437,5,0.0102,0.034,0.1413,0.8248,0.966
free_flow,116,717572,34.15351,-118.32751,6,0.0167,0.0343,0.2316,0.734,0.9657
free_flow,172,772178,34.16903,-118.49885,6,0.0127,0.0344,0.1514,0.8142,0.9656
free_flow,36,760987,34.15359,-118.34043,5,0.0157,0.0344,0.2755,0.6902,0.9656
free_flow,135,767509,34.11059,-118.24819,6,0.0159,0.0345,0.4085,0.557,0.9655
free_flow,73,717493,34.15434,-118.39618,5,0.0069,0.0347,0.2414,0.7239,0.9653
free_flow,32,769388,34.11027,-118.33441,5,0.0157,0.0353,0.2906,0.6741,0.9647
free_flow,9,717816,34.15562,-118.4686,7,0.0147,0.0355,0.1858,0.7787,0.9645
free_flow,186,717823,34.20264,-118.47326,5,0.0171,0.036,0.1589,0.8051,0.964
free_flow,131,765099,34.16378,-118.47224,6,0.0173,0.0364,0.1889,0.7747,0.9636
free_flow,204,772168,34.16542,-118.47985,6,0.012,0.0372,0.1603,0.8024,0.9628
free_flow,84,767053,34.17091,-118.46775,6,0.0063,0.0374,0.157,0.8056,0.9626
free_flow,41,772140,34.16498,-118.47493,6,0.0112,0.0374,0.1428,0.8199,0.9626
free_flow,38,718045,34.06712,-118.23973,6,0.0107,0.039,0.2444,0.7165,0.961
free_flow,102,717489,34.13876,-118.36438,7,0.0067,0.0392,0.3122,0.6486,0.9608
free_flow,156,764106,34.17169,-118.38801,6,0.0131,0.0393,0.2587,0.7021,0.9607
free_flow,201,717590,34.14929,-118.23182,5,0.0166,0.0412,0.1914,0.7674,0.9588
free_flow,69,717497,34.15685,-118.41456,7,0.0156,0.0414,0.2259,0.7327,0.9586
free_flow,140,718496,34.15403,-118.34232,7,0.0121,0.0414,0.276,0.6826,0.9586
