sample,node,fidelity_plus,fidelity_plus_random,fidelity_minus,fidelity_minus_random,stability,sparsity
1022,56,0.040434782749798615,0.055014542920616805,1.0730508283322706,1.1614728676213417,1.0,0.03864734299516908
1883,187,0.29362623790621,0.3146895063455304,22.485836135439058,22.736417920421445,0.7777777777777778,0.03864734299516908
5357,23,0.4079730149169336,0.39584722776817216,11.763080175981486,12.64871578626844,0.06666666666666667,0.03864734299516908
6177,150,1.709301430252708,2.3966044311519,27.59089855018044,27.528188617427872,1.0,0.03864734299516908
2364,29,0.11669850115686131,0.050613193579920335,1.1380857610929525,1.2713439324725186,0.7777777777777778,0.03864734299516908
3505,16,0.17767833645211795,0.966293706520446,2.060108028178547,4.1599153443517025,0.7777777777777778,0.03864734299516908
5566,206,0.32098245989072893,0.8719458801042492,2.1420372638467597,2.460865525828922,1.0,0.03864734299516908
1832,192,0.5792979780335372,0.7870909322818989,29.846605773194483,29.491609585673814,0.6,0.03864734299516908
6272,51,0.06011943424277888,0.060509258082220185,2.7593654331674315,2.8878725175738964,0.6,0.03864734299516908
1656,16,0.16067248931631184,0.15427961073328333,1.1461099740145073,1.1867748167351237,0.45454545454545453,0.03864734299516908
6557,18,0.038430762877737834,0.028678195377437987,2.024115316400959,2.1883551740475156,0.7777777777777778,0.03864734299516908
4398,61,0.5745447850821677,0.17180120468498217,16.009540188926053,15.760108703797755,0.7777777777777778,0.03864734299516908
2820,38,0.09456626719656924,0.28505592303372396,0.7823758647991781,1.000081150416463,1.0,0.03864734299516908
5176,113,0.3312902612994506,0.06294071892278907,2.7369041582577154,2.9322425022677123,1.0,0.03864734299516908
2260,16,0.05656919060220389,0.000550749627109326,0.6974581733484229,0.9114325369137077,0.23076923076923078,0.03864734299516908
179,198,5.11350753283682,0.22413011697403817,21.458277342497922,21.475373819319202,1.0,0.03864734299516908
2388,124,0.532400601558038,0.11664272904272366,0.49633928209186706,0.6190913814707528,0.6,0.03864734299516908
538,5,0.18575715956876593,0.15005429212783383,3.8350474271760504,3.911504895583789,0.45454545454545453,0.03864734299516908
1047,61,1.2327773703064508,2.3687391433859943,33.38143060280862,33.078388172965504,1.0,0.03864734299516908
2633,29,0.05020419807624421,0.04842878577619558,9.13016464955217,9.05142371974216,1.0,0.03864734299516908
6591,197,0.16637983566306502,0.04520562234665704,2.4170309679548154,2.5318006834977496,0.7777777777777778,0.03864734299516908
3945,165,0.09605119973548426,0.18316724201849865,27.365649359926635,27.48224909796471,1.0,0.03864734299516908
6543,51,0.06875830233889246,0.05955764638474648,2.611067962634934,2.745495896012585,0.7777777777777778,0.03864734299516908
798,79,1.358729539973865,0.014023200948486192,2.912531925456051,3.9126514192009836,0.45454545454545453,0.03864734299516908
132,149,0.48656521908924333,0.2842518750549061,26.07220035335149,25.883854438151502,0.7777777777777778,0.03864734299516908
169,61,0.05907661190030922,0.03395127448129642,5.371579628939799,5.0793012171252485,1.0,0.03864734299516908
4863,16,0.3410708782516849,0.1034944531347719,1.104588796958069,1.285236998488017,1.0,0.03864734299516908
6792,149,0.06113553244722425,0.07594302875077119,10.039986766670154,10.34360550835936,1.0,0.03864734299516908
2301,58,0.8457800441808558,0.7199047064102615,2.662302201944158,2.842553027160875,0.7777777777777778,0.03864734299516908
2254,126,0.16016589261289482,0.13236233179623014,4.4141385836196605,4.7841575129468765,0.7777777777777778,0.03864734299516908
3948,23,0.5397137200243378,0.047736282025653054,33.42153438387061,33.57222889339198,0.7777777777777778,0.03864734299516908
2177,61,0.057347676362041966,0.06653613216622034,4.836237048360999,4.6778256535053515,0.6,0.03864734299516908
6169,12,0.0022750374891984393,0.012892653718154179,1.3804806644875498,1.5200666469836506,0.7777777777777778,0.03864734299516908
2439,149,0.03996071977962856,0.005632983527902979,9.811118924792027,9.34554958283752,0.7777777777777778,0.03864734299516908
4534,16,0.04392751139766915,0.057807796303677605,0.6458341101997576,0.8546216671502407,1.0,0.03864734299516908
4515,75,3.9061138816969105,0.8582671881524675,14.024510431249382,14.618778574252701,1.0,0.03864734299516908
1665,155,0.11604550265383295,0.04435044992987969,31.64474368473546,31.489972001286816,0.7777777777777778,0.03864734299516908
642,77,0.027746626783482498,0.24052653757098597,15.2008802629407,8.498299130105806,1.0,0.03864734299516908
1882,12,0.03984220403708605,0.06422856094377494,1.4862245928925404,1.4463126737127823,0.7777777777777778,0.03864734299516908
1407,16,0.7462680685712257,0.2935518750873598,0.36952743757137796,0.22470817169869406,0.7777777777777778,0.03864734299516908
3231,112,5.408559735890435,0.8842964985881281,4.511123675787189,4.1623742555296985,1.0,0.03864734299516908
2718,124,0.017967916104680626,0.023108245957701,8.670593133705552,8.573524092887055,0.6,0.03864734299516908
5634,38,0.02866221899057564,0.12579400343747693,1.7916838143482892,1.9321621506705924,0.6,0.03864734299516908
2499,12,0.019427286424615886,0.10016671699122526,1.1276679949396566,1.2653786400978788,0.6,0.03864734299516908
2582,180,0.44353006151777663,0.7965687059281663,5.680886545311523,5.604043029301238,0.6,0.03864734299516908
5119,65,2.39690682058324,0.07446129148922864,2.077698611073515,1.3200478025825078,0.7777777777777778,0.03864734299516908
