sample_index,target_node,tod_band,congestion,round,used_correction,faithfulness_f1,cause_precision,cause_recall,hallucination_rate,n_cited_causes,n_missed,advisory_error
219,16,evening,low,0,False,0.2222222222222222,1.0,0.125,0.0,1,7,
219,16,evening,low,1,True,1.0,1.0,1.0,0.0,8,0,
2917,77,am_rush,medium,0,False,0.7692307692307693,1.0,0.625,0.0,3,3,
4367,29,am_rush,high,0,False,0.4,1.0,0.25,0.0,2,6,
4367,29,am_rush,high,1,True,0.9333333333333333,1.0,0.875,0.0,5,1,
3296,121,midday,high,0,False,0.4,1.0,0.25,0.0,2,6,
3296,121,midday,high,1,True,0.8571428571428571,1.0,0.75,0.0,6,2,
5668,144,pm_rush,low,0,False,0.4,1.0,0.25,0.0,2,6,
5668,144,pm_rush,low,1,True,1.0,1.0,1.0,0.0,8,0,
